case_id,fake_received_count,real_hops,smtp_code,postfix1_result,postfix2_result,postfix3_result,final_received_count,queue_status
C032,32,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,36,delivered
C033,33,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,37,delivered
C034,34,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,38,delivered
C035,35,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,39,delivered
C036,36,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,40,delivered
C037,37,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,41,delivered
C038,38,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,42,delivered
C039,39,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,43,delivered
C040,40,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,44,delivered
C041,41,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,45,delivered
C042,42,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,46,delivered
C043,43,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,47,delivered
C044,44,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,48,delivered
C045,45,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,49,delivered
C046,46,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,50,delivered
C047,47,3,250,accept;relay=sent,accept;relay=bounced,rejected_hopcount_exceeded,,bounced_not_delivered
C048,48,3,250,accept;relay=bounced,rejected_hopcount_exceeded,no_traffic,,bounced_not_delivered
C049,49,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C050,50,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C051,51,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C052,52,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C053,53,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C054,54,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C055,55,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C056,56,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C057,57,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C058,58,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C059,59,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C060,60,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C061,61,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C062,62,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C063,63,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C064,64,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C065,65,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C066,66,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C067,67,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C068,68,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C069,69,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C070,70,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C071,71,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C072,72,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C073,73,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C074,74,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C075,75,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C076,76,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C077,77,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C078,78,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C079,79,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C080,80,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C081,81,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C082,82,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C083,83,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C084,84,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C085,85,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C086,86,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C087,87,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C088,88,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C089,89,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C090,90,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C091,91,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C092,92,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C093,93,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C094,94,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C095,95,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C096,96,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C097,97,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C098,98,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C099,99,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
C100,100,3,554,rejected_hopcount_exceeded,no_traffic,no_traffic,,rejected_at_data(554)
